Index,Grade School Algorithm,Divide And Conquer Algorithm,Karatsuba Algorithm
1,0,0.333333,0
2,0,0.333333,0.333333
3,0,0.666667,0.666667
4,0,1,1.66667
5,0,1.66667,1.66667
6,0,2,2
7,0,1.66667,2
8,0,2.66667,3.33333
9,0,4,3.33333
10,0.333333,4.33333,4.66667
11,0,5.66667,5.33333
12,0.333333,5.66667,5.33333
13,0.333333,6,6
14,0,7,6.66667
15,0.333333,7.33333,8.33333
16,0,9,8.66667
17,0.333333,13,11
18,0.333333,13.6667,11.3333
19,0.333333,18.6667,14.6667
20,0,17.3333,12.3333
21,0,20.6667,13.3333
22,0.333333,21.6667,15.3333
23,0.333333,22,15.3333
24,0.333333,23.6667,16.3333
25,0.666667,23,17
26,0.333333,24.6667,18.6667
27,0,25.3333,18.3333
28,0,28,22
29,0.666667,27.6667,21.6667
30,0.333333,28,22.3333
31,0.333333,27.3333,24
32,0.333333,32.3333,25.6667
33,1,36.3333,27.6667
34,0.333333,41,29
35,0.666667,45.3333,33.6667
36,0.666667,49.6667,31
37,0.666667,52.6667,33.6667
38,0.333333,57,36
39,1,59.6667,35.3333
40,1,62.6667,36.6667
41,0.666667,67.3333,40.3333
42,0.666667,74.6667,41.3333
43,1,74,41.6667
44,1,76.6667,43
45,0.666667,81.3333,45
46,1,82,44.6667
47,1,84.6667,45.3333
48,1,90.3333,50.6667
49,1,91.3333,49.3333
50,1.66667,92.6667,51.3333
51,1.33333,97,52
52,1,95.6667,55
53,1.66667,98,56
54,1.33333,100.667,57.3333
55,1,105.667,59
56,1.33333,104,59.3333
57,1.66667,106.333,60.3333
58,1,105.667,63
59,1.33333,105.667,62
60,1.66667,116,66.3333
61,1.66667,113,70.6667
62,1.66667,110.333,70
63,1.66667,112,70
64,1.66667,124,84
65,1.66667,137.667,80.6667
66,1.66667,142.667,83
67,2,151,84.6667
68,2.33333,157,88
69,2,165.333,91.3333
70,2,173.667,89.6667
71,2,183,93.6667
72,2,193,96.6667
73,2,198.667,98.6667
74,2.33333,207.667,101
75,2.33333,217.667,101.667
76,2.33333,225.333,104
77,2.66667,225.333,105.333
78,2.66667,242.667,110.333
79,2.66667,261,114.667
80,2.33333,262,116.333
81,2.33333,268.333,118
82,2.33333,266.667,117
83,2.66667,277,118
84,3,281.667,120.333
85,3,288,124
86,2.66667,294,130.333
87,3,302,126.667
88,3,316.333,131.667
89,3,314.333,131.667
90,3.66667,331,136.667
91,3.33333,336.667,142.333
92,4,392.333,172.667
93,3.66667,365.667,146
94,4,350.667,142.667
95,3.66667,349,139.667
96,3.33333,357.333,151
97,4,360.667,150
98,4,369.667,155.333
99,4,376.333,157
100,4,379,157.333
